"Time (s)","Pressure (hPa)"
3.346806079E1,9.871555176E2
3.350806740E1,9.871556396E2
3.354806688E1,9.871566772E2
3.358806699E1,9.871579590E2
3.362805756E1,9.871608887E2
3.366805699E1,9.871631470E2
3.370806444E1,9.871654663E2
3.374806183E1,9.871670532E2
3.378806470E1,9.871656494E2
3.382806595E1,9.871636963E2
3.386806772E1,9.871634521E2
3.390806923E1,9.871635132E2
3.394805647E1,9.871639404E2
3.398805740E1,9.871658936E2
3.402806339E1,9.871690063E2
3.406806105E1,9.871721191E2
3.410806418E1,9.871723022E2
3.414806657E1,9.871719360E2
3.418806642E1,9.871719360E2
3.422806558E1,9.871699829E2
3.426806662E1,9.871683960E2
3.430806095E1,9.871697998E2
3.434805647E1,9.871707764E2
3.438806339E1,9.871717529E2
3.442806209E1,9.871734619E2
3.446806485E1,9.871746826E2
3.450806543E1,9.871754150E2
3.454806511E1,9.871771851E2
3.458806537E1,9.871777954E2
3.462805694E1,9.871776123E2
3.466805532E1,9.871781006E2
3.470806313E1,9.871788330E2
3.474806131E1,9.871784668E2
3.478806027E1,9.871795654E2
3.482806636E1,9.871809082E2
3.486806647E1,9.871801147E2
3.490806683E1,9.871815796E2
3.494805548E1,9.871851807E2
3.498805412E1,9.871870728E2
3.502806105E1,9.871879272E2
3.506806235E1,9.871916504E2
3.510806339E1,9.871929932E2
3.514806589E1,9.871918335E2
3.518806824E1,9.871932983E2
3.522806824E1,9.871965332E2
3.526805553E1,9.871967163E2
3.530805615E1,9.871949463E2
3.534806261E1,9.871940918E2
3.538806053E1,9.871928101E2
3.542806209E1,9.871915283E2
3.546806668E1,9.871920166E2
3.550806589E1,9.871926270E2
3.554806824E1,9.871943970E2
3.558805360E1,9.871965332E2
3.562805808E1,9.871976318E2
3.566806261E1,9.871991577E2
3.570806392E1,9.872019043E2
3.574806131E1,9.872033691E2
3.578806798E1,9.872047119E2
3.582806813E1,9.872055054E2
3.586806642E1,9.872058105E2
3.590805584E1,9.872075806E2
3.594806022E1,9.872086182E2
3.598805704E1,9.872079468E2
3.602806339E1,9.872078857E2
3.606806313E1,9.872086182E2
3.610806433E1,9.872078857E2
3.614806688E1,9.872069702E2
3.618807068E1,9.872082520E2
3.622805871E1,9.872105713E2
3.626806048E1,9.872124634E2
3.630805527E1,9.872141113E2
3.634806079E1,9.872142944E2
3.638806157E1,9.872133179E2
3.642806105E1,9.872131348E2
3.646806855E1,9.872129517E2
3.650806892E1,9.872123413E2
3.654806709E1,9.872137451E2
