"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.193292769E0,2.068537474E-1,6.351566315E-2,2.454719543E-1
1.198292769E0,2.861505747E-1,8.301401138E-2,2.393236160E-1
1.203292769E0,3.323875666E-1,1.069784164E-1,2.213888168E-1
1.208292769E0,3.454035521E-1,1.090030670E-1,1.830606461E-1
1.213292769E0,3.481979370E-1,9.505367279E-2,1.120615005E-1
1.218292769E0,3.209608793E-1,8.076334000E-2,3.291797638E-2
1.223292769E0,2.869991064E-1,6.786012650E-2,-4.760646820E-2
1.228292769E0,2.289228439E-1,4.461956024E-2,-1.460590363E-1
1.233292769E0,1.715775728E-1,1.271629333E-2,-2.365207672E-1
1.238292769E0,8.895349503E-2,-9.070396423E-3,-3.088459969E-1
1.243292769E0,1.797592640E-2,-1.543569565E-2,-3.922204971E-1
1.248292769E0,-5.996239185E-2,6.744861603E-3,-4.636631012E-1
1.253292769E0,-1.172034740E-1,4.244804382E-3,-5.043559074E-1
1.258292769E0,-1.696873903E-1,2.464389801E-2,-5.337085724E-1
1.263292769E0,-1.866109371E-1,3.562355042E-2,-5.007371902E-1
1.268292769E0,-1.845506430E-1,3.864669800E-2,-4.523029327E-1
1.273292769E0,-1.597994566E-1,3.142309189E-2,-4.100117683E-1
1.278292769E0,-1.151715517E-1,4.238128662E-3,-3.542456627E-1
1.283292769E0,-6.186079979E-2,-2.702283859E-2,-3.062305450E-1
1.288292769E0,-3.127098083E-2,-6.435585022E-2,-2.650279999E-1
1.293292769E0,-2.669167519E-2,-8.966827393E-2,-2.331190109E-1
1.298292769E0,-3.356039524E-2,-1.291027069E-1,-2.035064697E-1
1.303292769E0,-6.763827801E-2,-1.477150917E-1,-1.776862144E-1
1.308292769E0,-1.073135138E-1,-1.477837563E-1,-1.358351707E-1
1.313292769E0,-1.206865311E-1,-1.475901604E-1,-9.830379486E-2
1.318292769E0,-1.403776407E-1,-1.480526924E-1,-5.612277985E-2
1.323292769E0,-1.490818262E-1,-1.394171715E-1,-2.703762054E-2
1.328292769E0,-1.610763073E-1,-1.291499138E-1,-1.971244812E-2
1.333292769E0,-1.644552946E-1,-9.627151489E-2,-3.872680664E-2
1.338292769E0,-1.711988449E-1,-4.871797562E-2,-6.803512573E-2
1.343292769E0,-1.717749834E-1,6.891727448E-3,-9.740066528E-2
1.348292769E0,-1.697419882E-1,5.364131927E-2,-1.110353470E-1
