"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.189329277E1,-5.564714968E-2,-2.058552057E-1,-9.804331779E0
1.189829277E1,-5.635767803E-2,-2.057835162E-1,-9.804328918E0
1.190329277E1,-5.680882931E-2,-2.052893192E-1,-9.804336548E0
1.190829277E1,-5.696715787E-2,-2.047775239E-1,-9.804346085E0
1.191329277E1,-5.718545988E-2,-2.043442577E-1,-9.804353714E0
1.191829277E1,-5.778906122E-2,-2.042473257E-1,-9.804352760E0
1.192329277E1,-5.909467489E-2,-2.040313184E-1,-9.804349899E0
1.192829277E1,-6.041403860E-2,-2.039022893E-1,-9.804344177E0
1.193329277E1,-6.173586473E-2,-2.035790980E-1,-9.804342270E0
1.193829277E1,-6.265272945E-2,-2.033165246E-1,-9.804342270E0
1.194329277E1,-6.314233691E-2,-2.031120211E-1,-9.804343224E0
1.194829277E1,-6.346979737E-2,-2.031965107E-1,-9.804339409E0
1.195329277E1,-6.406280398E-2,-2.034844011E-1,-9.804329872E0
1.195829277E1,-6.504766643E-2,-2.037612796E-1,-9.804317474E0
1.196329277E1,-6.597189605E-2,-2.038696408E-1,-9.804308891E0
1.196829277E1,-6.726796925E-2,-2.038036734E-1,-9.804301262E0
1.197329277E1,-6.876467913E-2,-2.034205943E-1,-9.804298401E0
1.197829277E1,-7.039740682E-2,-2.030474991E-1,-9.804295540E0
1.198329277E1,-7.193450630E-2,-2.025500387E-1,-9.804294586E0
1.198829277E1,-7.310239226E-2,-2.021021396E-1,-9.804294586E0
1.199329277E1,-7.353852689E-2,-2.017392665E-1,-9.804299355E0
1.199829277E1,-7.341111451E-2,-2.015108913E-1,-9.804305077E0
1.200329277E1,-7.267153263E-2,-2.014775723E-1,-9.804310799E0
1.200829277E1,-7.195207477E-2,-2.018355876E-1,-9.804308891E0
1.201329277E1,-7.187084854E-2,-2.023398727E-1,-9.804298401E0
1.201829277E1,-7.246185094E-2,-2.028324008E-1,-9.804284096E0
1.202329277E1,-7.384313643E-2,-2.032067776E-1,-9.804266930E0
1.202829277E1,-7.590472698E-2,-2.032708675E-1,-9.804249763E0
1.203329277E1,-7.743509859E-2,-2.029951960E-1,-9.804243088E0
1.203829277E1,-7.855932415E-2,-2.026455104E-1,-9.804242134E0
1.204329277E1,-7.934455574E-2,-2.023107558E-1,-9.804242134E0
1.204829277E1,-7.964256406E-2,-2.022112012E-1,-9.804242134E0
1.205329277E1,-7.968758792E-2,-2.024275362E-1,-9.804237366E0
1.205829277E1,-7.996251434E-2,-2.027951628E-1,-9.804226875E0
1.206329277E1,-8.030277491E-2,-2.028843462E-1,-9.804223061E0
1.206829277E1,-8.048284799E-2,-2.029311210E-1,-9.804220200E0
1.207329277E1,-8.098638058E-2,-2.028331608E-1,-9.804218292E0
1.207829277E1,-8.171398193E-2,-2.024950087E-1,-9.804219246E0
1.208329277E1,-8.206155151E-2,-2.023966461E-1,-9.804218292E0
1.208829277E1,-8.220800012E-2,-2.025472075E-1,-9.804213524E0
1.209329277E1,-8.231166005E-2,-2.028569430E-1,-9.804205894E0
1.209829277E1,-8.214686066E-2,-2.034075260E-1,-9.804196358E0
1.210329277E1,-8.179266751E-2,-2.036700994E-1,-9.804193497E0
1.210829277E1,-8.181474358E-2,-2.037515789E-1,-9.804191589E0
1.211329277E1,-8.224396408E-2,-2.039517462E-1,-9.804184914E0
1.211829277E1,-8.311060816E-2,-2.038839459E-1,-9.804178238E0
1.212329277E1,-8.387157321E-2,-2.040952146E-1,-9.804166794E0
1.212829277E1,-8.468115330E-2,-2.039996684E-1,-9.804162025E0
1.213329277E1,-8.469352871E-2,-2.037762254E-1,-9.804167747E0
1.213829277E1,-8.417257667E-2,-2.035901994E-1,-9.804176331E0
1.214329277E1,-8.360189199E-2,-2.035345435E-1,-9.804181099E0
1.214829277E1,-8.288225532E-2,-2.037663013E-1,-9.804183006E0
1.215329277E1,-8.188579977E-2,-2.040843815E-1,-9.804183960E0
