"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.995501650E-1,-2.915352285E-1,5.404626131E-1,-3.454440236E-1
4.016690190E-1,-2.952004075E-1,5.416843295E-1,-3.430005610E-1
4.037878730E-1,-3.037525117E-1,5.441278219E-1,-3.393353820E-1
4.059067270E-1,-3.074176908E-1,5.441278219E-1,-3.344484568E-1
4.080255290E-1,-3.159697950E-1,5.453495383E-1,-3.271180987E-1
4.101443830E-1,-3.220784664E-1,5.477929711E-1,-3.222311735E-1
4.122632370E-1,-3.257436454E-1,5.526798964E-1,-3.173442483E-1
4.143820920E-1,-3.318522871E-1,5.563451052E-1,-3.124573231E-1
4.165009460E-1,-3.379609287E-1,5.575668216E-1,-3.087921441E-1
4.186197480E-1,-3.428478539E-1,5.624537468E-1,-3.051269650E-1
4.207386020E-1,-3.489564955E-1,5.673406720E-1,-3.039052188E-1
4.228574560E-1,-3.526217043E-1,5.710058808E-1,-3.014617562E-1
4.249763100E-1,-3.550651670E-1,5.746710300E-1,-2.953531146E-1
4.270951120E-1,-3.611738086E-1,5.783362389E-1,-2.904661894E-1
4.292139670E-1,-3.648389876E-1,5.795579553E-1,-2.843575478E-1
4.313328210E-1,-3.672824502E-1,5.832231641E-1,-2.770271897E-1
4.334516230E-1,-3.697259128E-1,5.844448805E-1,-2.721402645E-1
4.355704770E-1,-3.697259128E-1,5.844448805E-1,-2.672533393E-1
4.376893310E-1,-3.709476292E-1,5.844448805E-1,-2.611446977E-1
4.398081850E-1,-3.697259128E-1,5.856665969E-1,-2.587012351E-1
4.419270400E-1,-3.697259128E-1,5.868883133E-1,-2.550360560E-1
4.440458420E-1,-3.672824502E-1,5.868883133E-1,-2.513708472E-1
4.461646960E-1,-3.660607338E-1,5.881100893E-1,-2.489273995E-1
4.482835500E-1,-3.611738086E-1,5.856665969E-1,-2.489273995E-1
4.504024040E-1,-3.587303460E-1,5.881100893E-1,-2.464839369E-1
4.525212060E-1,-3.538434207E-1,5.844448805E-1,-2.464839369E-1
4.546400600E-1,-3.489564955E-1,5.832231641E-1,-2.452622056E-1
4.567589150E-1,-3.440696001E-1,5.795579553E-1,-2.452622056E-1
4.588777690E-1,-3.404043913E-1,5.758927464E-1,-2.440404743E-1
4.609965190E-1,-3.355174661E-1,5.710058808E-1,-2.428187430E-1
4.631154250E-1,-3.294088244E-1,5.661189556E-1,-2.403752953E-1
4.652342790E-1,-3.245218992E-1,5.587885380E-1,-2.391535640E-1
4.673531330E-1,-3.196350038E-1,5.514581800E-1,-2.367101014E-1
4.694719870E-1,-3.171915412E-1,5.441278219E-1,-2.354883701E-1
4.715907900E-1,-3.123046160E-1,5.355756879E-1,-2.342666388E-1
4.737096440E-1,-3.074176908E-1,5.294670463E-1,-2.330449075E-1
4.758284980E-1,-3.025307953E-1,5.221366882E-1,-2.330449075E-1
4.779473520E-1,-2.988655865E-1,5.148062706E-1,-2.330449075E-1
4.800661540E-1,-2.927569449E-1,5.086976290E-1,-2.330449075E-1
4.821850080E-1,-2.878700197E-1,5.038107038E-1,-2.342666388E-1
4.843038620E-1,-2.829830945E-1,4.977020919E-1,-2.342666388E-1
4.864227170E-1,-2.780961990E-1,4.940368831E-1,-2.354883701E-1
4.885415190E-1,-2.707658112E-1,4.879282415E-1,-2.367101014E-1
4.906603730E-1,-2.646571696E-1,4.830413163E-1,-2.379318327E-1
4.927792270E-1,-2.585485280E-1,4.769326746E-1,-2.415970266E-1
4.948980810E-1,-2.536616027E-1,4.671588540E-1,-2.428187430E-1
4.970168830E-1,-2.487746775E-1,4.561632872E-1,-2.452622056E-1
4.991357370E-1,-2.438877672E-1,4.463894367E-1,-2.477056682E-1
5.012545920E-1,-2.390008420E-1,4.341721535E-1,-2.513708472E-1
5.033734460E-1,-2.341139317E-1,4.231765866E-1,-2.562577724E-1
5.054922480E-1,-2.316704690E-1,4.097375572E-1,-2.611446977E-1
