"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
7.382927690E-1,4.455813523E-1,1.869497001E-1,2.089340836E-1,8.502079844E-1,1.270789210E2,3.176678435E1,-7.567723834E0,1.225270377E2
7.432927690E-1,4.461351597E-1,1.880096197E-1,2.092234343E-1,8.496124744E-1,1.270080223E2,3.186693166E1,-7.630659269E0,1.224102537E2
7.482927690E-1,4.466370466E-1,1.890826523E-1,2.094812244E-1,8.490469456E-1,1.269437516E2,3.196443026E1,-7.698251651E0,1.222993032E2
7.532927690E-1,4.470935594E-1,1.901479065E-1,2.097204477E-1,8.485095501E-1,1.268852758E2,3.205937404E1,-7.767600599E0,1.221942199E2
7.582927690E-1,4.475027763E-1,1.911804825E-1,2.099606246E-1,8.480022550E-1,1.268328456E2,3.215220138E1,-7.835362932E0,1.220962583E2
7.632927690E-1,4.478766846E-1,1.921491623E-1,2.102086097E-1,8.475243449E-1,1.267849287E2,3.224173054E1,-7.897834841E0,1.220052899E2
7.682927690E-1,4.482206028E-1,1.930311471E-1,2.104543597E-1,8.470810056E-1,1.267408463E2,3.232548897E1,-7.953309158E0,1.219217519E2
7.732927690E-1,4.485479463E-1,1.938003600E-1,2.107069790E-1,8.466691971E-1,1.266988804E2,3.240284114E1,-7.998387125E0,1.218451300E2
7.782927690E-1,4.488553083E-1,1.944494843E-1,2.109625638E-1,8.462937474E-1,1.266594692E2,3.247284709E1,-8.032768609E0,1.217762523E2
7.832927690E-1,4.491493820E-1,1.949767768E-1,2.112067640E-1,8.459554315E-1,1.266217555E2,3.253392148E1,-8.056905319E0,1.217144793E2
7.882927690E-1,4.494426986E-1,1.953913122E-1,2.114212364E-1,8.456503749E-1,1.265841326E2,3.258480591E1,-8.072266923E0,1.216579651E2
7.932927690E-1,4.497194675E-1,1.957335919E-1,2.115996480E-1,8.453794122E-1,1.265486266E2,3.262726272E1,-8.083570369E0,1.216069259E2
7.982927690E-1,4.499852068E-1,1.960219741E-1,2.117224783E-1,8.451403975E-1,1.265145303E2,3.266046715E1,-8.093459228E0,1.215599560E2
8.032927690E-1,4.502358586E-1,1.962678581E-1,2.117956281E-1,8.449314833E-1,1.264823652E2,3.268571563E1,-8.102811496E0,1.215170297E2
8.082927690E-1,4.504643350E-1,1.964926273E-1,2.118268013E-1,8.447496295E-1,1.264530418E2,3.270510505E1,-8.113431298E0,1.214780369E2
8.132927690E-1,4.506776301E-1,1.967079937E-1,2.118078172E-1,8.445904851E-1,1.264256634E2,3.271858933E1,-8.126627017E0,1.214416150E2
8.182927690E-1,4.508820440E-1,1.969370395E-1,2.117369473E-1,8.444457650E-1,1.263994219E2,3.272751284E1,-8.144407986E0,1.214059378E2
8.232927690E-1,4.510783707E-1,1.972051710E-1,2.116230279E-1,8.443068862E-1,1.263742157E2,3.273442224E1,-8.168585214E0,1.213697076E2
8.282927690E-1,4.512620778E-1,1.975169033E-1,2.114837021E-1,8.441707492E-1,1.263506271E2,3.274140311E1,-8.198720749E0,1.213331952E2
