"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.067176590E2,3.288750076E1,-1.496250057E1,-2.585625076E1
1.067276590E2,3.585000229E1,-1.533750057E1,-2.836875153E1
1.067376590E2,4.226250076E1,-1.389375019E1,-3.015000153E1
1.067476590E2,4.470000076E1,-1.606875038E1,-2.876250076E1
1.067576590E2,4.286250305E1,-1.599375057E1,-2.733750153E1
1.067676590E2,3.650625229E1,-1.603125000E1,-2.645625114E1
1.067776590E2,3.247500229E1,-1.818750000E1,-2.668125153E1
1.067876590E2,3.493125153E1,-1.925625038E1,-3.099375153E1
1.067976590E2,4.085625076E1,-1.798125076E1,-3.213750076E1
1.068076590E2,4.616250229E1,-1.571250057E1,-3.052500153E1
1.068176590E2,4.443750000E1,-1.614375114E1,-3.046875191E1
1.068276590E2,3.658125305E1,-1.730625153E1,-2.696250153E1
1.068376590E2,3.234375000E1,-1.728750038E1,-2.846250153E1
1.068476590E2,3.564375305E1,-1.730625153E1,-3.086250114E1
1.068576590E2,4.102500153E1,-1.903125000E1,-3.063750076E1
1.068676590E2,4.651875305E1,-1.807500076E1,-3.065625191E1
1.068776590E2,4.327500153E1,-1.756875038E1,-2.799375153E1
1.068876590E2,3.661875153E1,-1.809375000E1,-2.690625191E1
1.068976590E2,3.341250229E1,-1.747500038E1,-2.581875038E1
1.069076590E2,3.346875000E1,-1.845000076E1,-2.745000076E1
1.069176590E2,4.702500153E1,-1.612500000E1,-2.973750114E1
1.069276590E2,4.702500153E1,-1.612500000E1,-2.973750114E1
1.069376590E2,4.331250000E1,-1.595625019E1,-2.703750038E1
1.069476590E2,3.316875076E1,-1.749375153E1,-2.611875153E1
1.069576590E2,3.316875076E1,-1.749375153E1,-2.611875153E1
1.069676590E2,3.502500153E1,-1.447500038E1,-3.015000153E1
1.069776590E2,4.548750305E1,-1.689375114E1,-3.166875076E1
1.069876590E2,4.396875000E1,-1.533750057E1,-2.911875153E1
1.069976590E2,3.815625000E1,-1.453125095E1,-2.754375076E1
1.070076590E2,3.099375153E1,-1.762500000E1,-2.655000114E1
1.070176590E2,3.414375305E1,-1.927500153E1,-3.035625076E1
1.070276590E2,4.005000305E1,-1.895625114E1,-3.187500191E1
1.070376590E2,4.691250229E1,-1.852500153E1,-3.061875153E1
1.070476590E2,4.486875153E1,-1.747500038E1,-2.833125114E1
1.070576590E2,3.826875305E1,-1.640625000E1,-2.628750038E1
1.070676590E2,3.350625229E1,-1.841250038E1,-2.557500076E1
1.070776590E2,3.691875076E1,-1.483125019E1,-2.968125153E1
1.070876590E2,4.233750153E1,-1.640625000E1,-2.994375038E1
1.070976590E2,4.897500229E1,-1.590000057E1,-3.211875153E1
1.071076590E2,4.693125153E1,-1.548750019E1,-2.930625153E1
1.071176590E2,3.881250000E1,-1.794375038E1,-2.617500114E1
1.071276590E2,3.352500153E1,-1.715625000E1,-2.615625191E1
1.071376590E2,3.562500000E1,-1.680000114E1,-2.981250191E1
1.071476590E2,4.408125305E1,-1.681875038E1,-3.135000038E1
1.071576590E2,4.886250305E1,-1.683750153E1,-3.142500114E1
1.071676590E2,4.695000076E1,-1.546875095E1,-2.853750038E1
1.071776590E2,3.903750229E1,-1.698750114E1,-2.640000153E1
1.071876590E2,3.238125229E1,-1.599375057E1,-2.731875038E1
1.071976590E2,3.461250305E1,-1.777500153E1,-2.846250153E1
