"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.443731845E1,-8.614161611E-2,-1.866401732E-1,-9.710074425E0
1.443943730E1,-1.244267747E-1,-2.201396823E-1,-9.705288887E0
1.444155610E1,-4.785645381E-2,-2.249253243E-1,-9.509077072E0
1.444367496E1,-1.052841991E-1,-2.536391914E-1,-9.671789169E0
1.444579381E1,-7.657032460E-2,-2.440679073E-1,-9.767501831E0
1.444791266E1,-1.148554832E-1,-2.009970993E-1,-9.647860527E0
1.445003152E1,-1.627119333E-1,-2.823530734E-1,-9.719645500E0
1.445215037E1,-1.100698411E-1,-2.392822653E-1,-9.695717812E0
1.445426923E1,-1.962114573E-1,-2.201396823E-1,-9.734002113E0
1.445638808E1,-1.770688742E-1,-2.201396823E-1,-9.681360245E0
1.445850694E1,-1.627119333E-1,-2.392822653E-1,-9.839286804E0
1.446062579E1,-1.674975902E-1,-2.057827413E-1,-9.824930191E0
1.446274459E1,-1.818545163E-1,-1.674975902E-1,-9.738788605E0
1.446486345E1,-1.339980662E-1,-2.105683982E-1,-9.710074425E0
1.446698230E1,-1.818545163E-1,-1.531406492E-1,-9.595218658E0
1.446910115E1,-1.148554832E-1,-1.627119333E-1,-9.729216576E0
1.447122001E1,-1.292124242E-1,-1.244267747E-1,-9.810572624E0
1.447333886E1,-1.627119333E-1,-1.292124242E-1,-9.719645500E0
1.447545772E1,-7.178468257E-2,-1.722832322E-1,-9.628718376E0
1.447757657E1,-1.339980662E-1,-1.674975902E-1,-9.504291534E0
1.447969543E1,-8.614161611E-2,-1.722832322E-1,-9.580862045E0
1.448181428E1,-6.221338734E-2,-1.674975902E-1,-9.772287369E0
1.448393313E1,-1.148554832E-1,-1.866401732E-1,-9.810572624E0
1.448605194E1,-9.092725813E-2,-2.297109663E-1,-9.681360245E0
1.448817079E1,-1.435693651E-1,-2.679961324E-1,-9.566504478E0
1.449028964E1,-1.627119333E-1,-2.344966233E-1,-9.576076508E0
1.449240850E1,-9.571290761E-2,-2.392822653E-1,-9.710074425E0
1.449452735E1,-1.292124242E-1,-2.584248483E-1,-9.896714211E0
1.449664621E1,-9.092725813E-2,-2.201396823E-1,-9.738788605E0
1.449876506E1,-1.100698411E-1,-2.632105052E-1,-9.676574707E0
1.450088392E1,-1.483550072E-1,-2.297109663E-1,-9.633503914E0
1.450300277E1,-1.292124242E-1,-1.770688742E-1,-9.690931320E0
1.450512157E1,-1.004985496E-1,-2.105683982E-1,-9.834501266E0
1.450724042E1,-1.004985496E-1,-1.483550072E-1,-9.762716293E0
