
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,I,Latitude,Longitude,Speed (m/s),
13:21:15:752,-0.3108,0.9023,0.6356,-3.2172,1.1353,-0.1521,-0.0255,0.8205,-0.3178,261.9675,50.37562931,16.28175891,0.00000000,
13:21:15:793,-0.2928,0.9568,0.6042,-3.2172,1.1353,-0.1521,-0.0255,0.8205,-0.3178,261.9675,50.37562931,16.28175891,0.00000000,
13:21:15:802,-0.2928,0.9568,0.6042,-3.2172,1.1353,-0.1521,0.2083,1.5372,0.0157,261.9675,50.37562931,16.28175891,0.00000000,
13:21:15:818,-0.2928,0.9568,0.6042,-2.5994,1.2641,0.6817,0.2083,1.5372,0.0157,261.9675,50.37562931,16.28175891,0.00000000,
13:21:15:845,-0.2928,0.9568,0.6042,-2.5994,1.2641,0.6817,0.2083,1.5372,0.0157,267.9750,50.37562931,16.28175891,0.00000000,
13:21:15:860,-0.2386,0.9048,0.7358,-2.5994,1.2641,0.6817,0.2083,1.5372,0.0157,267.9750,50.37562931,16.28175891,0.00000000,
13:21:15:869,-0.2386,0.9048,0.7358,-2.5994,1.2641,0.6817,0.1710,1.6835,0.0901,267.9750,50.37562931,16.28175891,0.00000000,
13:21:15:885,-0.2386,0.9048,0.7358,-1.7391,1.3695,0.5609,0.1710,1.6835,0.0901,267.9750,50.37562931,16.28175891,0.00000000,
13:21:15:928,0.0452,0.8016,0.7945,-1.7391,1.3695,0.5609,0.1710,1.6835,0.0901,267.9750,50.37562931,16.28175891,0.00000000,
13:21:15:937,0.0452,0.8016,0.7945,-1.7391,1.3695,0.5609,0.2521,1.7358,0.0951,267.9750,50.37562931,16.28175891,0.00000000,
13:21:15:954,0.0452,0.8016,0.7945,0.1875,0.4066,2.1742,0.2521,1.7358,0.0951,267.9750,50.37562931,16.28175891,0.00000000,
13:21:15:996,0.1525,0.6806,0.8274,0.1875,0.4066,2.1742,0.2521,1.7358,0.0951,267.9750,50.37562931,16.28175891,0.00000000,
13:21:16:003,0.1525,0.6806,0.8274,0.1875,0.4066,2.1742,-0.0941,2.0046,0.2786,267.9750,50.37562931,16.28175891,0.00000000,
13:21:16:004,0.1525,0.6806,0.8274,0.1875,0.4066,2.1742,-0.0941,2.0046,0.2786,268.9875,50.37562931,16.28175891,0.00000000,
13:21:16:021,0.1525,0.6806,0.8274,3.0876,-0.5682,2.2154,-0.0941,2.0046,0.2786,268.9875,50.37562931,16.28175891,0.00000000,
13:21:16:064,0.4422,0.5120,0.9710,3.0876,-0.5682,2.2154,-0.0941,2.0046,0.2786,268.9875,50.37562931,16.28175891,0.00000000,
13:21:16:072,0.4422,0.5120,0.9710,3.0876,-0.5682,2.2154,-0.0301,1.2821,0.8827,268.9875,50.37562931,16.28175891,0.00000000,
13:21:16:089,0.4422,0.5120,0.9710,3.3763,-1.9329,2.8402,-0.0301,1.2821,0.8827,268.9875,50.37562931,16.28175891,0.00000000,
13:21:16:132,0.5102,0.3772,0.9008,3.3763,-1.9329,2.8402,-0.0301,1.2821,0.8827,268.9875,50.37562931,16.28175891,0.00000000,
13:21:16:140,0.5102,0.3772,0.9008,3.3763,-1.9329,2.8402,0.3940,1.3286,0.9607,268.9875,50.37562931,16.28175891,0.00000000,
13:21:16:157,0.5102,0.3772,0.9008,5.5500,-3.4427,3.7066,0.3940,1.3286,0.9607,268.9875,50.37562931,16.28175891,0.00000000,
13:21:16:165,0.5102,0.3772,0.9008,5.5500,-3.4427,3.7066,0.3940,1.3286,0.9607,274.9950,50.37562931,16.28175891,0.00000000,
13:21:16:199,0.2606,0.4661,0.6210,5.5500,-3.4427,3.7066,0.3940,1.3286,0.9607,274.9950,50.37562931,16.28175891,0.00000000,
13:21:16:207,0.2606,0.4661,0.6210,5.5500,-3.4427,3.7066,0.4604,0.7665,0.5554,274.9950,50.37562931,16.28175891,0.00000000,
13:21:16:225,0.2606,0.4661,0.6210,4.5588,-3.7681,2.0023,0.4604,0.7665,0.5554,274.9950,50.37562931,16.28175891,0.00000000,
13:21:16:268,0.2365,0.6214,0.5570,4.5588,-3.7681,2.0023,0.4604,0.7665,0.5554,274.9950,50.37562931,16.28175891,0.00000000,
13:21:16:276,0.2365,0.6214,0.5570,4.5588,-3.7681,2.0023,-0.3615,-0.1471,0.2220,274.9950,50.37562931,16.28175891,0.00000000,
13:21:16:292,0.2365,0.6214,0.5570,1.6980,-1.6832,-0.6569,-0.3615,-0.1471,0.2220,274.9950,50.37562931,16.28175891,0.00000000,
13:21:16:325,0.2365,0.6214,0.5570,1.6980,-1.6832,-0.6569,-0.3615,-0.1471,0.2220,265.0050,50.37562931,16.28175891,0.00000000,
13:21:16:339,0.1930,0.7843,0.6796,1.6980,-1.6832,-0.6569,-0.3615,-0.1471,0.2220,265.0050,50.37562931,16.28175891,0.00000000,
13:21:16:344,0.1930,0.7843,0.6796,1.6980,-1.6832,-0.6569,-1.4024,-0.4783,-0.3592,265.0050,50.37562931,16.28175891,0.00000000,
13:21:16:359,0.1930,0.7843,0.6796,1.4385,0.2421,-0.9191,-1.4024,-0.4783,-0.3592,265.0050,50.37562931,16.28175891,0.00000000,
13:21:16:403,0.0983,0.9414,1.0387,1.4385,0.2421,-0.9191,-1.4024,-0.4783,-0.3592,265.0050,50.37562931,16.28175891,0.00000000,
13:21:16:412,0.0983,0.9414,1.0387,1.4385,0.2421,-0.9191,-2.0779,-1.4117,-1.0996,265.0050,50.37562931,16.28175891,0.00000000,
13:21:16:432,0.0983,0.9414,1.0387,0.7485,2.6714,0.0868,-2.0779,-1.4117,-1.0996,265.0050,50.37562931,16.28175891,0.00000000,
13:21:16:471,0.0456,0.9925,1.5123,0.7485,2.6714,0.0868,-2.0779,-1.4117,-1.0996,265.0050,50.37562931,16.28175891,0.00000000,
13:21:16:479,0.0456,0.9925,1.5123,0.7485,2.6714,0.0868,-1.7196,-2.0916,-1.5915,265.0050,50.37562931,16.28175891,0.00000000,
13:21:16:485,0.0456,0.9925,1.5123,0.7485,2.6714,0.0868,-1.7196,-2.0916,-1.5915,206.0100,50.37562931,16.28175891,0.00000000,
13:21:16:496,0.0456,0.9925,1.5123,-0.4424,3.9021,3.5741,-1.7196,-2.0916,-1.5915,206.0100,50.37562931,16.28175891,0.00000000,
13:21:16:539,-0.0881,0.7993,1.3838,-0.4424,3.9021,3.5741,-1.7196,-2.0916,-1.5915,206.0100,50.37562931,16.28175891,0.00000000,
13:21:16:547,-0.0881,0.7993,1.3838,-0.4424,3.9021,3.5741,-1.1310,-1.3393,-1.4325,206.0100,50.37562931,16.28175891,0.00000000,
13:21:16:564,-0.0881,0.7993,1.3838,-1.1766,3.3890,5.9069,-1.1310,-1.3393,-1.4325,206.0100,50.37562931,16.28175891,0.00000000,
13:21:16:605,-0.1132,0.5270,1.3864,-1.1766,3.3890,5.9069,-1.1310,-1.3393,-1.4325,206.0100,50.37562931,16.28175891,0.00000000,
13:21:16:615,-0.1132,0.5270,1.3864,-1.1766,3.3890,5.9069,-0.0281,-1.7958,-1.0973,206.0100,50.37562931,16.28175891,0.00000000,
13:21:16:632,-0.1132,0.5270,1.3864,-3.5230,1.3761,4.4207,-0.0281,-1.7958,-1.0973,206.0100,50.37562931,16.28175891,0.00000000,
13:21:16:645,-0.1132,0.5270,1.3864,-3.5230,1.3761,4.4207,-0.0281,-1.7958,-1.0973,147.0150,50.37562931,16.28175891,0.00000000,
13:21:16:674,-0.2708,0.4527,0.8990,-3.5230,1.3761,4.4207,-0.0281,-1.7958,-1.0973,147.0150,50.37562931,16.28175891,0.00000000,
13:21:16:682,-0.2708,0.4527,0.8990,-3.5230,1.3761,4.4207,-0.5043,-0.8980,-0.5357,147.0150,50.37562931,16.28175891,0.00000000,
13:21:16:700,-0.2708,0.4527,0.8990,-3.4619,-0.6605,1.3405,-0.5043,-0.8980,-0.5357,147.0150,50.37562931,16.28175891,0.00000000,
13:21:16:742,-0.1635,0.3760,0.7566,-3.4619,-0.6605,1.3405,-0.5043,-0.8980,-0.5357,147.0150,50.37562931,16.28175891,0.00000000,
13:21:16:751,-0.1635,0.3760,0.7566,-3.4619,-0.6605,1.3405,-0.7369,-0.9299,-0.4675,147.0150,50.37562931,16.28175891,0.00000000,
13:21:16:767,-0.1635,0.3760,0.7566,-3.9645,-0.7507,-1.5715,-0.7369,-0.9299,-0.4675,147.0150,50.37562931,16.28175891,0.00000000,
13:21:16:805,-0.1635,0.3760,0.7566,-3.9645,-0.7507,-1.5715,-0.7369,-0.9299,-0.4675,133.9875,50.37562931,16.28175891,0.00000000,
13:21:16:810,-0.1428,0.3868,0.6677,-3.9645,-0.7507,-1.5715,-0.7369,-0.9299,-0.4675,133.9875,50.37562931,16.28175891,0.00000000,
13:21:16:818,-0.1428,0.3868,0.6677,-3.9645,-0.7507,-1.5715,-0.7135,-0.5673,-0.3592,133.9875,50.37562931,16.28175891,0.00000000,
13:21:16:835,-0.1428,0.3868,0.6677,-3.0223,-0.9097,-2.5154,-0.7135,-0.5673,-0.3592,133.9875,50.37562931,16.28175891,0.00000000,
13:21:16:877,0.0031,0.3761,0.6019,-3.0223,-0.9097,-2.5154,-0.7135,-0.5673,-0.3592,133.9875,50.37562931,16.28175891,0.00000000,
13:21:16:886,0.0031,0.3761,0.6019,-3.0223,-0.9097,-2.5154,-0.8407,-0.3172,-0.9336,133.9875,50.37562931,16.28175891,0.00000000,
13:21:16:903,0.0031,0.3761,0.6019,-1.7965,-0.0071,-3.4097,-0.8407,-0.3172,-0.9336,133.9875,50.37562931,16.28175891,0.00000000,
13:21:16:945,-0.0723,0.3666,0.7160,-1.7965,-0.0071,-3.4097,-0.8407,-0.3172,-0.9336,133.9875,50.37562931,16.28175891,0.00000000,
